"Dealer Name","Address","City","State","Contact"
"Iland Nissan","Ground Floor, Langhthabal Kunja, Canchipur, Imphal East - 795003","Imphal East","Manipur","+918657731149"
"Orange Nissan","Ground Floor, Park View, Lumsohphoh, East Khasi Hills - 793014","East Khasi Hills","Meghalaya","+917506238751"
"Rafael Nissan","Ground Floor, Chanmari, Aizawl - 796007","Aizawl","Mizoram","+917506237748"
"Nili Nissan","NH 29, Purana Bazar Road, Dimapur - 797117","Dimapur","Nagaland","+917045690321"
"Ananta Nissan","No 94, NH 5, Cuttack Highway, Pahal, Khorda - 752101","Khorda","Odisha","+918657731150"
"Bharat Nissan","Ground Floor, NH 6, Remed, Sambalpur - 768017","Sambalpur","Odisha","+917506235993"
"Vignesh Nissan","No 10A, East Coast Road, Paccamudaiyanpattu, Puducherry - 605001","Puducherry","Puducherry","+918489944191"
"Vignesh Nissan","No 1 to 7, Airport Road, Besant Nagar, Lawspet, Puducherry - 605008","Puducherry","Puducherry","+918489944191"
"Vignesh Nissan","No 10A, East Coast Rd, Pakkamudayanpet, Lawspet, Puducherry - 605008","Puducherry","Puducherry","+914132255191"
"M R Nissan","Plot No 11, GT Road, Mohan Vihar, Amritsar - 143001","Amritsar","Punjab","+919769967307"
"AVC Nissan","Mansa Road, Jassi Chowk, Bathinda - 151001","Bathinda","Punjab","+911642430243"
"Dada Nissan","Ground Floor, GT Road, Jalandhar - 144005","Jalandhar","Punjab","+919769830738"
"Dada Nissan","Ground Floor, Focal Point, GT Road, Ludhiana - 141014","Ludhiana","Punjab","+919769571621"
"Raj Nissan","No 387/10, Jaipur Road, Ajmer - 305001","Ajmer","Rajasthan","+917506235143"
"Raj Nissan","Ground Floor, Ajmer Road, Rico Area, Purani Chungi Naka, Ajmer - 305001","Ajmer","Rajasthan","+917045690671"
"Raj Nissan","Ajmer Road, Madanganj, Kishangarh, Ajmer - 305001","Ajmer","Rajasthan","+919414003015"
"Tirupati Nissan","Plot No 142, Alka Puri, Alwar - 301001","Alwar","Rajasthan","+919769546331"
"Saran Nissan","Ground Floor, NH 15, Jaisalmer Road, Bikaner - 334001","Bikaner","Rajasthan","+919413389103"
"Autofinnity Nissan","No C114, A & E, Road No 8, VKI Area, Jaipur - 302013","Jaipur","Rajasthan","+918657731120"
"Royal Nissan","No A 87, Prince Road, Vaishali Nagar, Jaipur - 302021","Jaipur","Rajasthan","+911414083756"
"Royal Nissan","Plot No 1 & 2, Tonk Road, Durga Vihar, Jaipur - 302029","Jaipur","Rajasthan","+911415142000"
"Bhaskar Nissan","Plot C6/7, Industrial Area, Jhunjhunu - 333001","Jhunjhunu","Rajasthan","+919929970411"
"Fatehpuria Nissan","Plot No G 13 & 14, Automobile Zone, Indraprastha Ind Area, Kota - 324005","Kota","Rajasthan","+917506234643"
"Raj Nissan","Ajmer Road, Moondwa Chouraha, Nagaur - 341001","Nagaur","Rajasthan","+911452634501"
"Bhaskar Nissan","Plot F 52 & 53, Industrial Area, Jaipur Road, Sikar - 332001","Sikar","Rajasthan","+919769628445"
"Autorelli Nissan","Old No 476, New No 672, Temple Towers, Anna Salai, Chennai - 600005","Chennai","Tamil Nadu","+917035898000"
"Lakshmi Nissan","Plot No 133, Velachery Main Road, Guindy, Chennai - 600032","Chennai","Tamil Nadu","+919551444423"
"Autorelli Nissan","No 2/574, Mount Poonamalle High Rd, Iyyapanthangal, Chennai - 600056","Chennai","Tamil Nadu","+917299987319"
"Lakshmi Nissan","No 67, 68 , Ambattur Industrial Est, Developers Plot, Ambattur, Chennai - 600058","Chennai","Tamil Nadu","+919941811150"
"Ramani Nissan","No 54/1, Mettupalayam Road, Kavundampalaym, Coimbatore - 641043","Coimbatore","Tamil Nadu","+919500470000"
"Ramani Nissan","No 304, Perundurai Main Road, Mel Tingal, Erode - 638011","Erode","Tamil Nadu","+919500470000"
"Marvel Nissan","No 237/3, Perandapalli, Bangalore Bypass Road, Nh 7, Krishnagiri, Hosur - 635109","Hosur","Tamil Nadu","+919095030786"
"Marvel Nissan","DN O2/104J, Agharam, Avathanapatti, Krishnagiri - 635101","Krishnagiri","Tamil Nadu","+914344322522"
"Jeevan Nissan","No 204, GST Road, Thanakkankulam, Madurai - 625006","Madurai","Tamil Nadu","+919442178870"
"PLA Nissan","Old No 7C, New No 20, Alexandria Road, Cantonment, Madurai - 625006","Madurai","Tamil Nadu","+919003393000"
"Win Nissan","No 77/1/B, Govt Medical College Road, Nagercoil - 629001","Nagercoil","Tamil Nadu","+918925175185"
"Ramani Nissan","No 46/42A, Perundurai Main Road, Nagercoil - 629001","Nagercoil","Tamil Nadu","+917045690633"
"Marvel Nissan","Ground Floor, Kandampatty Bypass Road, Salem - 636005","Salem","Tamil Nadu","+919791936665"
"Ahash Nissan","No 9, 14 & 16, Bypass Rd, PWD Ngr Extn, Melavasthachavady, Thanjavur - 613005","Thanjavur","Tamil Nadu","+917373775202"
"Jeevan Nissan","Cumbum Road, PC Patti, Theni, Theni - 625531","Theni","Tamil Nadu","+917397722895"
"Jeevan Nissan","No 27/35, Nagercoil Road, NH 7, Sengulam, Tirunelveli - 627151","Tirunelveli","Tamil Nadu","+919442178872"
